Merchant,Booked Quarter,Quarter On Book,FICO Bucket,Line Item,Value
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Other Revenue,"$2,330"
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Cost of Funds,"($167,920)"
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Charge Offs,"($30,770)"
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Recoveries / Debt Sale,"$4,600"
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Payment Fees,"($9,220)"
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Rewards,"($108,721)"
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Rebates,"($12,190)"
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Royalties,"($38,175)"
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),3rd Party Fraud,"($3,260)"
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Servicing & Collections,"($7,190)"
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Acquisition Bounties,-
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Sign-On Bonus,-
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Marketing Expense,-
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Added Features,-
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),KYC/AML and Underwriting Costs,-
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Card Origination,-
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),CAC / New Account,-
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Partner Signing Bonus,-
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Program Support,"($5,890)"
Merchant 2,Q3 2023,Q1 2025,Exceptional (800-850),Other Credits,-
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),New Accounts,0
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Total Accounts,"6,262"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),In-Month Active Accounts,"3,661"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Net Transaction Volume,"$6,275,100"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),On-Merchant Volume,"$4,329,800"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Off-Merchant Volume,"$1,945,300"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Outstanding Balance,"$16,283,260"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Revolve Balance,"$6,701,900"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Principal Payments,"($8,941,000)"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),EoP Interest & Fees Balance,"$527,360"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Interest Revenue,"$366,930"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Interchange Revenue,"$95,190"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Fee Revenue,"$12,950"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Merchant Discount Rate,"$63,950"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Other Revenue,"$2,910"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Cost of Funds,"($220,240)"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Charge Offs,"($86,460)"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Recoveries / Debt Sale,"$13,310"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Payment Fees,"($9,310)"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Rewards,"($109,106)"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Rebates,"($12,800)"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Royalties,"($39,003)"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),3rd Party Fraud,"($3,930)"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Servicing & Collections,"($9,750)"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Acquisition Bounties,-
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Sign-On Bonus,-
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Marketing Expense,-
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Added Features,-
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),KYC/AML and Underwriting Costs,-
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Card Origination,-
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),CAC / New Account,-
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Partner Signing Bonus,-
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Program Support,"($7,790)"
Merchant 2,Q3 2023,Q1 2025,Very Good (740-799),Other Credits,-
Merchant 2,Q3 2023,Q1 2025,Good (670-739),New Accounts,0
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Total Accounts,"4,419"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),In-Month Active Accounts,"2,353"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Net Transaction Volume,"$2,935,200"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),On-Merchant Volume,"$2,025,300"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Off-Merchant Volume,"$909,900"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Outstanding Balance,"$11,163,240"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Revolve Balance,"$5,554,700"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Principal Payments,"($4,361,700)"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),EoP Interest & Fees Balance,"$646,740"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Interest Revenue,"$345,780"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Interchange Revenue,"$44,530"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Fee Revenue,"$14,170"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Merchant Discount Rate,"$30,090"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Other Revenue,"$1,810"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Cost of Funds,"($148,650)"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Charge Offs,"($122,520)"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Recoveries / Debt Sale,"$19,180"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Payment Fees,"($4,370)"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Rewards,"($46,771)"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Rebates,"($5,810)"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Royalties,"($18,465)"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),3rd Party Fraud,"($1,980)"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Servicing & Collections,"($7,990)"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Acquisition Bounties,-
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Sign-On Bonus,-
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Marketing Expense,-
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Added Features,-
Merchant 2,Q3 2023,Q1 2025,Good (670-739),KYC/AML and Underwriting Costs,-
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Card Origination,-
Merchant 2,Q3 2023,Q1 2025,Good (670-739),CAC / New Account,-
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Partner Signing Bonus,-
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Program Support,"($5,200)"
Merchant 2,Q3 2023,Q1 2025,Good (670-739),Other Credits,-
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),New Accounts,0
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Total Accounts,"2,587"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),In-Month Active Accounts,"1,243"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Net Transaction Volume,"$1,190,800"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),On-Merchant Volume,"$821,700"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Off-Merchant Volume,"$369,100"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Outstanding Balance,"$6,254,970"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Revolve Balance,"$3,768,500"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Principal Payments,"($1,612,100)"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),EoP Interest & Fees Balance,"$628,770"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Interest Revenue,"$262,850"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Interchange Revenue,"$19,250"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Fee Revenue,"$14,030"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Merchant Discount Rate,"$12,240"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Other Revenue,"$1,020"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Cost of Funds,"($80,970)"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Charge Offs,"($121,350)"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Recoveries / Debt Sale,"$18,530"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Payment Fees,"($1,730)"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Rewards,"($17,161)"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Rebates,"($2,450)"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Royalties,"($7,130)"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),3rd Party Fraud,"($1,110)"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Servicing & Collections,"($5,990)"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Acquisition Bounties,-
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Sign-On Bonus,-
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Marketing Expense,-
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Added Features,-
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),KYC/AML and Underwriting Costs,-
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Card Origination,-
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),CAC / New Account,-
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Partner Signing Bonus,-
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Program Support,"($3,200)"
Merchant 2,Q3 2023,Q1 2025,Fair (580-669),Other Credits,-
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),New Accounts,0
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Total Accounts,"1,069"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),In-Month Active Accounts,436
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Net Transaction Volume,"$289,800"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),On-Merchant Volume,"$200,000"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Off-Merchant Volume,"$89,800"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Outstanding Balance,"$1,943,510"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Revolve Balance,"$1,355,900"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Principal Payments,"($374,700)"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),EoP Interest & Fees Balance,"$280,410"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Interest Revenue,"$101,350"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Interchange Revenue,"$4,690"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Fee Revenue,"$7,320"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Merchant Discount Rate,"$3,040"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Other Revenue,$380
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Cost of Funds,"($24,950)"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Charge Offs,"($65,570)"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Recoveries / Debt Sale,"$9,410"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Payment Fees,($430)
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Rewards,"($3,608)"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Rebates,($590)
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Royalties,"($1,826)"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),3rd Party Fraud,($320)
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Servicing & Collections,"($2,800)"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Acquisition Bounties,-
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Sign-On Bonus,-
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Marketing Expense,-
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Added Features,-
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),KYC/AML and Underwriting Costs,-
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Card Origination,-
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),CAC / New Account,-
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Partner Signing Bonus,-
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Program Support,"($1,350)"
Merchant 2,Q3 2023,Q1 2025,Poor (300-579),Other Credits,($830)
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),New Accounts,0
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Total Accounts,"4,946"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),In-Month Active Accounts,"3,217"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Net Transaction Volume,"$7,854,600"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),On-Merchant Volume,"$5,301,900"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Off-Merchant Volume,"$2,552,700"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Outstanding Balance,"$12,133,300"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Revolve Balance,"$3,246,200"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Principal Payments,"($7,855,800)"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),EoP Interest & Fees Balance,"$229,300"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Interest Revenue,"$153,380"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Interchange Revenue,"$112,120"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Fee Revenue,"$7,860"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Merchant Discount Rate,"$80,430"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Other Revenue,"$2,650"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Cost of Funds,"($151,800)"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Charge Offs,"($29,480)"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Recoveries / Debt Sale,"$4,570"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Payment Fees,"($11,520)"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Rewards,"($138,378)"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Rebates,"($15,350)"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Royalties,"($46,336)"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),3rd Party Fraud,"($3,660)"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Servicing & Collections,"($7,640)"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Acquisition Bounties,-
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Sign-On Bonus,-
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Marketing Expense,-
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Added Features,-
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),KYC/AML and Underwriting Costs,-
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Card Origination,-
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),CAC / New Account,-
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Partner Signing Bonus,-
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Program Support,"($6,120)"
Merchant 2,Q3 2023,Q2 2025,Exceptional (800-850),Other Credits,-
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),New Accounts,0
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Total Accounts,"6,139"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),In-Month Active Accounts,"3,874"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Net Transaction Volume,"$8,027,500"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),On-Merchant Volume,"$5,418,600"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Off-Merchant Volume,"$2,608,900"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Outstanding Balance,"$16,185,250"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Revolve Balance,"$5,619,800"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Principal Payments,"($8,075,400)"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),EoP Interest & Fees Balance,"$558,550"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Interest Revenue,"$307,680"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Interchange Revenue,"$122,620"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Fee Revenue,"$15,020"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Merchant Discount Rate,"$80,670"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Other Revenue,"$2,990"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Cost of Funds,"($202,930)"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Charge Offs,"($84,200)"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Recoveries / Debt Sale,"$14,130"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Payment Fees,"($12,050)"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Rewards,"($137,409)"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Rebates,"($15,690)"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Royalties,"($47,703)"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),3rd Party Fraud,"($4,630)"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Servicing & Collections,"($10,460)"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Acquisition Bounties,-
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Sign-On Bonus,-
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Marketing Expense,-
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Added Features,-
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),KYC/AML and Underwriting Costs,-
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Card Origination,-
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),CAC / New Account,-
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Partner Signing Bonus,-
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Program Support,"($7,340)"
Merchant 2,Q3 2023,Q2 2025,Very Good (740-799),Other Credits,-
Merchant 2,Q3 2023,Q2 2025,Good (670-739),New Accounts,0
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Total Accounts,"4,295"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),In-Month Active Accounts,"2,484"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Net Transaction Volume,"$3,870,100"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),On-Merchant Volume,"$2,612,300"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Off-Merchant Volume,"$1,257,800"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Outstanding Balance,"$11,140,650"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Revolve Balance,"$4,908,600"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Principal Payments,"($3,837,900)"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),EoP Interest & Fees Balance,"$703,150"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Interest Revenue,"$305,560"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Interchange Revenue,"$59,120"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Fee Revenue,"$16,940"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Merchant Discount Rate,"$39,180"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Other Revenue,"$1,940"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Cost of Funds,"($139,400)"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Charge Offs,"($118,690)"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Recoveries / Debt Sale,"$18,070"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Payment Fees,"($5,760)"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Rewards,"($61,163)"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Rebates,"($7,440)"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Royalties,"($23,022)"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),3rd Party Fraud,"($2,920)"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Servicing & Collections,"($8,210)"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Acquisition Bounties,-
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Sign-On Bonus,-
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Marketing Expense,-
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Added Features,-
Merchant 2,Q3 2023,Q2 2025,Good (670-739),KYC/AML and Underwriting Costs,-
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Card Origination,-
Merchant 2,Q3 2023,Q2 2025,Good (670-739),CAC / New Account,-
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Partner Signing Bonus,-
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Program Support,"($4,990)"
Merchant 2,Q3 2023,Q2 2025,Good (670-739),Other Credits,-
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),New Accounts,0
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Total Accounts,"2,527"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),In-Month Active Accounts,"1,303"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Net Transaction Volume,"$1,512,000"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),On-Merchant Volume,"$1,020,600"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Off-Merchant Volume,"$491,400"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Outstanding Balance,"$6,230,030"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Revolve Balance,"$3,609,500"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Principal Payments,"($1,502,200)"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),EoP Interest & Fees Balance,"$694,530"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Interest Revenue,"$251,760"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Interchange Revenue,"$24,610"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Fee Revenue,"$15,120"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Merchant Discount Rate,"$15,300"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Other Revenue,$990
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Cost of Funds,"($78,030)"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Charge Offs,"($113,160)"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Recoveries / Debt Sale,"$19,760"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Payment Fees,"($2,220)"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Rewards,"($21,419)"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Rebates,"($3,020)"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Royalties,"($9,272)"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),3rd Party Fraud,"($1,380)"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Servicing & Collections,"($5,950)"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Acquisition Bounties,-
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Sign-On Bonus,-
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Marketing Expense,-
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Added Features,-
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),KYC/AML and Underwriting Costs,-
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Card Origination,-
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),CAC / New Account,-
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Partner Signing Bonus,-
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Program Support,"($3,130)"
Merchant 2,Q3 2023,Q2 2025,Fair (580-669),Other Credits,-
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),New Accounts,0
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Total Accounts,"1,024"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),In-Month Active Accounts,447
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Net Transaction Volume,"$360,500"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),On-Merchant Volume,"$243,300"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Off-Merchant Volume,"$117,200"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Outstanding Balance,"$1,939,210"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Revolve Balance,"$1,292,900"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Principal Payments,"($340,100)"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),EoP Interest & Fees Balance,"$309,810"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Interest Revenue,"$96,640"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Interchange Revenue,"$5,870"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Fee Revenue,"$7,650"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Merchant Discount Rate,"$3,690"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Other Revenue,$380
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Cost of Funds,"($24,270)"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Charge Offs,"($64,390)"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Recoveries / Debt Sale,"$10,950"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Payment Fees,($540)
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Rewards,"($4,446)"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Rebates,($730)
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Royalties,"($2,156)"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),3rd Party Fraud,($450)
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Servicing & Collections,"($2,980)"
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Acquisition Bounties,-
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Sign-On Bonus,-
Merchant 2,Q3 2023,Q2 2025,Poor (300-579),Marketing Expense,-
