Merchant,Grain FICO,QSB,Line Item,Driver Basis,rate
Merchant 6,Exceptional (800-850),1,Interchange Revenue,Net Transaction Volume,0.013126941911731053
Merchant 6,Exceptional (800-850),2,Interchange Revenue,Net Transaction Volume,0.013204150843316387
Merchant 6,Exceptional (800-850),3,Interchange Revenue,Net Transaction Volume,0.013281036808707717
Merchant 6,Exceptional (800-850),4,Interchange Revenue,Net Transaction Volume,0.013357961484024914
Merchant 6,Exceptional (800-850),5,Interchange Revenue,Net Transaction Volume,0.013434815741690266
Merchant 6,Exceptional (800-850),6,Interchange Revenue,Net Transaction Volume,0.013511386077085605
Merchant 6,Fair (580-669),0,Interchange Revenue,Net Transaction Volume,0.015050439398987389
Merchant 6,Fair (580-669),1,Interchange Revenue,Net Transaction Volume,0.015127220007249004
Merchant 6,Fair (580-669),2,Interchange Revenue,Net Transaction Volume,0.015203948250435716
Merchant 6,Fair (580-669),3,Interchange Revenue,Net Transaction Volume,0.015280736719125833
Merchant 6,Fair (580-669),4,Interchange Revenue,Net Transaction Volume,0.015358636715724244
Merchant 6,Fair (580-669),5,Interchange Revenue,Net Transaction Volume,0.015435041716328963
Merchant 6,Fair (580-669),6,Interchange Revenue,Net Transaction Volume,0.01551104724268008
Merchant 6,Good (670-739),0,Interchange Revenue,Net Transaction Volume,0.014049999468768925
Merchant 6,Good (670-739),1,Interchange Revenue,Net Transaction Volume,0.01412706909762677
Merchant 6,Good (670-739),2,Interchange Revenue,Net Transaction Volume,0.01420431340517106
Merchant 6,Good (670-739),3,Interchange Revenue,Net Transaction Volume,0.014281559515923156
Merchant 6,Good (670-739),4,Interchange Revenue,Net Transaction Volume,0.01435771214252227
Merchant 6,Good (670-739),5,Interchange Revenue,Net Transaction Volume,0.014435744886584924
Merchant 6,Good (670-739),6,Interchange Revenue,Net Transaction Volume,0.01451211140531529
Merchant 6,Poor (300-579),0,Interchange Revenue,Net Transaction Volume,0.015048341307498362
Merchant 6,Poor (300-579),1,Interchange Revenue,Net Transaction Volume,0.015126393041587388
Merchant 6,Poor (300-579),2,Interchange Revenue,Net Transaction Volume,0.01520453271900878
Merchant 6,Poor (300-579),3,Interchange Revenue,Net Transaction Volume,0.015284587507994031
Merchant 6,Poor (300-579),4,Interchange Revenue,Net Transaction Volume,0.015355386678587393
Merchant 6,Poor (300-579),5,Interchange Revenue,Net Transaction Volume,0.01543244143443988
Merchant 6,Poor (300-579),6,Interchange Revenue,Net Transaction Volume,0.015513245033112582
Merchant 6,Very Good (740-799),0,Interchange Revenue,Net Transaction Volume,0.014050119166561667
Merchant 6,Very Good (740-799),1,Interchange Revenue,Net Transaction Volume,0.014127047169590916
Merchant 6,Very Good (740-799),2,Interchange Revenue,Net Transaction Volume,0.014204032500752332
Merchant 6,Very Good (740-799),3,Interchange Revenue,Net Transaction Volume,0.014280998541161605
Merchant 6,Very Good (740-799),4,Interchange Revenue,Net Transaction Volume,0.014357985470453043
Merchant 6,Very Good (740-799),5,Interchange Revenue,Net Transaction Volume,0.014435598018400567
Merchant 6,Very Good (740-799),6,Interchange Revenue,Net Transaction Volume,0.014511536448025332
Merchant 7,Exceptional (800-850),0,Interchange Revenue,Net Transaction Volume,0.0139600564402702
Merchant 7,Exceptional (800-850),1,Interchange Revenue,Net Transaction Volume,0.014050970267344049
Merchant 7,Exceptional (800-850),2,Interchange Revenue,Net Transaction Volume,0.014142065143249847
Merchant 7,Exceptional (800-850),3,Interchange Revenue,Net Transaction Volume,0.014232983944507628
Merchant 7,Exceptional (800-850),4,Interchange Revenue,Net Transaction Volume,0.014323930768537534
Merchant 7,Exceptional (800-850),5,Interchange Revenue,Net Transaction Volume,0.014414855107910853
Merchant 7,Fair (580-669),0,Interchange Revenue,Net Transaction Volume,0.01596010749848539
Merchant 7,Fair (580-669),1,Interchange Revenue,Net Transaction Volume,0.016051487927036034
Merchant 7,Fair (580-669),2,Interchange Revenue,Net Transaction Volume,0.016141973210036038
Merchant 7,Fair (580-669),3,Interchange Revenue,Net Transaction Volume,0.016232679086666903
Merchant 7,Fair (580-669),4,Interchange Revenue,Net Transaction Volume,0.016325059223400967
Merchant 7,Fair (580-669),5,Interchange Revenue,Net Transaction Volume,0.016416928587091588
Merchant 7,Good (670-739),0,Interchange Revenue,Net Transaction Volume,0.014960250221128126
Merchant 7,Good (670-739),1,Interchange Revenue,Net Transaction Volume,0.015050874435185246
Merchant 7,Good (670-739),2,Interchange Revenue,Net Transaction Volume,0.015141875347229368
Merchant 7,Good (670-739),3,Interchange Revenue,Net Transaction Volume,0.015232828544174766
Merchant 7,Good (670-739),4,Interchange Revenue,Net Transaction Volume,0.015324127577949079
Merchant 7,Good (670-739),5,Interchange Revenue,Net Transaction Volume,0.015415961680528084
Merchant 7,Poor (300-579),0,Interchange Revenue,Net Transaction Volume,0.0159582345971564
Merchant 7,Poor (300-579),1,Interchange Revenue,Net Transaction Volume,0.016052693483886143
Merchant 7,Poor (300-579),2,Interchange Revenue,Net Transaction Volume,0.01614475797201193
Merchant 7,Poor (300-579),3,Interchange Revenue,Net Transaction Volume,0.01623529411764706
Merchant 7,Poor (300-579),4,Interchange Revenue,Net Transaction Volume,0.016334661354581673
Merchant 7,Poor (300-579),5,Interchange Revenue,Net Transaction Volume,0.016429587482219062
Merchant 7,Very Good (740-799),0,Interchange Revenue,Net Transaction Volume,0.014959891520375862
Merchant 7,Very Good (740-799),1,Interchange Revenue,Net Transaction Volume,0.015051143822233519
Merchant 7,Very Good (740-799),2,Interchange Revenue,Net Transaction Volume,0.015142116271740065
Merchant 7,Very Good (740-799),3,Interchange Revenue,Net Transaction Volume,0.015232909355044367
Merchant 7,Very Good (740-799),4,Interchange Revenue,Net Transaction Volume,0.015324001591459854
Merchant 7,Very Good (740-799),5,Interchange Revenue,Net Transaction Volume,0.015414664393117346
Merchant 8,Exceptional (800-850),0,Interchange Revenue,Net Transaction Volume,0.013679613881866238
Merchant 8,Exceptional (800-850),1,Interchange Revenue,Net Transaction Volume,0.01378705959241875
Merchant 8,Exceptional (800-850),2,Interchange Revenue,Net Transaction Volume,0.01389246497538811
Merchant 8,Exceptional (800-850),3,Interchange Revenue,Net Transaction Volume,0.013991737469794995
Merchant 8,Exceptional (800-850),4,Interchange Revenue,Net Transaction Volume,0.014105472072582932
Merchant 8,Fair (580-669),0,Interchange Revenue,Net Transaction Volume,0.015679193972627167
Merchant 8,Fair (580-669),1,Interchange Revenue,Net Transaction Volume,0.01578427384204103
Merchant 8,Fair (580-669),2,Interchange Revenue,Net Transaction Volume,0.015887380593262945
Merchant 8,Fair (580-669),3,Interchange Revenue,Net Transaction Volume,0.015994717626038997
Merchant 8,Fair (580-669),4,Interchange Revenue,Net Transaction Volume,0.016106621295902453
Merchant 8,Good (670-739),0,Interchange Revenue,Net Transaction Volume,0.014680401706822981
Merchant 8,Good (670-739),1,Interchange Revenue,Net Transaction Volume,0.01478438647635634
Merchant 8,Good (670-739),2,Interchange Revenue,Net Transaction Volume,0.014890255462920202
Merchant 8,Good (670-739),3,Interchange Revenue,Net Transaction Volume,0.01499160825352947
Merchant 8,Good (670-739),4,Interchange Revenue,Net Transaction Volume,0.015098546330152502
Merchant 8,Poor (300-579),0,Interchange Revenue,Net Transaction Volume,0.0156820991894491
Merchant 8,Poor (300-579),1,Interchange Revenue,Net Transaction Volume,0.01578153004433544
Merchant 8,Poor (300-579),2,Interchange Revenue,Net Transaction Volume,0.015891998520527677
Merchant 8,Poor (300-579),3,Interchange Revenue,Net Transaction Volume,0.01599366587490103
Merchant 8,Poor (300-579),4,Interchange Revenue,Net Transaction Volume,0.016082881105081402
Merchant 8,Very Good (740-799),0,Interchange Revenue,Net Transaction Volume,0.014678498201741118
Merchant 8,Very Good (740-799),1,Interchange Revenue,Net Transaction Volume,0.01478472963261395
Merchant 8,Very Good (740-799),2,Interchange Revenue,Net Transaction Volume,0.014887882089809026
Merchant 8,Very Good (740-799),3,Interchange Revenue,Net Transaction Volume,0.014994194725493449
Merchant 8,Very Good (740-799),4,Interchange Revenue,Net Transaction Volume,0.015101108936725375
Merchant 9,ALL,0,Interchange Revenue,Net Transaction Volume,0.014622394630707183
Merchant 9,ALL,1,Interchange Revenue,Net Transaction Volume,0.014743857196017186
Merchant 9,ALL,2,Interchange Revenue,Net Transaction Volume,0.014864267560499467
Merchant 9,ALL,3,Interchange Revenue,Net Transaction Volume,0.014987906686432082
Merchant 1,Exceptional (800-850),0,Merchant Discount Rate,Net Transaction Volume,0.012619992232195273
Merchant 1,Exceptional (800-850),1,Merchant Discount Rate,Net Transaction Volume,0.012416051546489774
Merchant 1,Exceptional (800-850),2,Merchant Discount Rate,Net Transaction Volume,0.012247615454897835
Merchant 1,Exceptional (800-850),3,Merchant Discount Rate,Net Transaction Volume,0.012083562967755333
Merchant 1,Exceptional (800-850),4,Merchant Discount Rate,Net Transaction Volume,0.011920450289692243
Merchant 1,Exceptional (800-850),5,Merchant Discount Rate,Net Transaction Volume,0.011640835016142102
Merchant 1,Exceptional (800-850),6,Merchant Discount Rate,Net Transaction Volume,0.011537840515178536
Merchant 1,Exceptional (800-850),7,Merchant Discount Rate,Net Transaction Volume,0.011314698221796557
Merchant 1,Exceptional (800-850),8,Merchant Discount Rate,Net Transaction Volume,0.011164818257580615
Merchant 1,Exceptional (800-850),9,Merchant Discount Rate,Net Transaction Volume,0.01107759729837993
Merchant 1,Exceptional (800-850),10,Merchant Discount Rate,Net Transaction Volume,0.010718807736534063
Merchant 1,Exceptional (800-850),11,Merchant Discount Rate,Net Transaction Volume,0.01060084542508222
Merchant 1,Exceptional (800-850),12,Merchant Discount Rate,Net Transaction Volume,0.0104836608605032
Merchant 1,Exceptional (800-850),13,Merchant Discount Rate,Net Transaction Volume,0.01039066790387638
Merchant 1,Fair (580-669),0,Merchant Discount Rate,Net Transaction Volume,0.012528999147687132
Merchant 1,Fair (580-669),1,Merchant Discount Rate,Net Transaction Volume,0.012462142721938293
Merchant 1,Fair (580-669),2,Merchant Discount Rate,Net Transaction Volume,0.01228398446225657
Merchant 1,Fair (580-669),3,Merchant Discount Rate,Net Transaction Volume,0.0120755722218807
Merchant 1,Fair (580-669),4,Merchant Discount Rate,Net Transaction Volume,0.011854049676233174
Merchant 1,Fair (580-669),5,Merchant Discount Rate,Net Transaction Volume,0.011687321258341278
Merchant 1,Fair (580-669),6,Merchant Discount Rate,Net Transaction Volume,0.011603573947801551
Merchant 1,Fair (580-669),7,Merchant Discount Rate,Net Transaction Volume,0.01132238547968885
Merchant 1,Fair (580-669),8,Merchant Discount Rate,Net Transaction Volume,0.011066964005276713
Merchant 1,Fair (580-669),9,Merchant Discount Rate,Net Transaction Volume,0.010976512750644197
Merchant 1,Fair (580-669),10,Merchant Discount Rate,Net Transaction Volume,0.010823655573293038
Merchant 1,Fair (580-669),11,Merchant Discount Rate,Net Transaction Volume,0.01063861450601782
Merchant 1,Fair (580-669),12,Merchant Discount Rate,Net Transaction Volume,0.010473931946390715
Merchant 1,Fair (580-669),13,Merchant Discount Rate,Net Transaction Volume,0.010232044198895028
Merchant 1,Good (670-739),0,Merchant Discount Rate,Net Transaction Volume,0.012585816170099313
Merchant 1,Good (670-739),1,Merchant Discount Rate,Net Transaction Volume,0.012391416483625593
Merchant 1,Good (670-739),2,Merchant Discount Rate,Net Transaction Volume,0.012258675236031188
Merchant 1,Good (670-739),3,Merchant Discount Rate,Net Transaction Volume,0.01201564353957698
Merchant 1,Good (670-739),4,Merchant Discount Rate,Net Transaction Volume,0.011841985392827737
Merchant 1,Good (670-739),5,Merchant Discount Rate,Net Transaction Volume,0.011746917795265559
Merchant 1,Good (670-739),6,Merchant Discount Rate,Net Transaction Volume,0.011475763423771143
Merchant 1,Good (670-739),7,Merchant Discount Rate,Net Transaction Volume,0.011390863393786399
Merchant 1,Good (670-739),8,Merchant Discount Rate,Net Transaction Volume,0.011234074658344622
Merchant 1,Good (670-739),9,Merchant Discount Rate,Net Transaction Volume,0.010957102777718287
Merchant 1,Good (670-739),10,Merchant Discount Rate,Net Transaction Volume,0.01077432150632479
Merchant 1,Good (670-739),11,Merchant Discount Rate,Net Transaction Volume,0.01066209224901921
Merchant 1,Good (670-739),12,Merchant Discount Rate,Net Transaction Volume,0.010415580432449011
Merchant 1,Good (670-739),13,Merchant Discount Rate,Net Transaction Volume,0.010244714294520126
Merchant 1,Poor (300-579),0,Merchant Discount Rate,Net Transaction Volume,0.012671492937781604
Merchant 1,Poor (300-579),1,Merchant Discount Rate,Net Transaction Volume,0.012355916254998824
Merchant 1,Poor (300-579),2,Merchant Discount Rate,Net Transaction Volume,0.012213353467802826
Merchant 1,Poor (300-579),3,Merchant Discount Rate,Net Transaction Volume,0.012111247423071573
Merchant 1,Poor (300-579),4,Merchant Discount Rate,Net Transaction Volume,0.011874180109270712
Merchant 1,Poor (300-579),5,Merchant Discount Rate,Net Transaction Volume,0.01167721301327464
Merchant 1,Poor (300-579),6,Merchant Discount Rate,Net Transaction Volume,0.01152649791982581
Merchant 1,Poor (300-579),7,Merchant Discount Rate,Net Transaction Volume,0.011346277041344307
Merchant 1,Poor (300-579),8,Merchant Discount Rate,Net Transaction Volume,0.011155512171313525
Merchant 1,Poor (300-579),9,Merchant Discount Rate,Net Transaction Volume,0.010940447318782
Merchant 1,Poor (300-579),10,Merchant Discount Rate,Net Transaction Volume,0.010813221898769838
Merchant 1,Poor (300-579),11,Merchant Discount Rate,Net Transaction Volume,0.010702389572773353
Merchant 1,Poor (300-579),12,Merchant Discount Rate,Net Transaction Volume,0.01055580126787557
Merchant 1,Poor (300-579),13,Merchant Discount Rate,Net Transaction Volume,0.010425663170882171
Merchant 1,Very Good (740-799),0,Merchant Discount Rate,Net Transaction Volume,0.012606444736043117
Merchant 1,Very Good (740-799),1,Merchant Discount Rate,Net Transaction Volume,0.01243179966071764
Merchant 1,Very Good (740-799),2,Merchant Discount Rate,Net Transaction Volume,0.012258467874807341
Merchant 1,Very Good (740-799),3,Merchant Discount Rate,Net Transaction Volume,0.012074821359106952
Merchant 1,Very Good (740-799),4,Merchant Discount Rate,Net Transaction Volume,0.011952757833666637
Merchant 1,Very Good (740-799),5,Merchant Discount Rate,Net Transaction Volume,0.011596611556922619
Merchant 1,Very Good (740-799),6,Merchant Discount Rate,Net Transaction Volume,0.011430623281719829
Merchant 1,Very Good (740-799),7,Merchant Discount Rate,Net Transaction Volume,0.011328084908057213
Merchant 1,Very Good (740-799),8,Merchant Discount Rate,Net Transaction Volume,0.011192410920108016
Merchant 1,Very Good (740-799),9,Merchant Discount Rate,Net Transaction Volume,0.01100300479402377
Merchant 1,Very Good (740-799),10,Merchant Discount Rate,Net Transaction Volume,0.010805272154349338
Merchant 1,Very Good (740-799),11,Merchant Discount Rate,Net Transaction Volume,0.010528241868059172
Merchant 1,Very Good (740-799),12,Merchant Discount Rate,Net Transaction Volume,0.010294761019359073
Merchant 1,Very Good (740-799),13,Merchant Discount Rate,Net Transaction Volume,0.010410089010185334
Merchant 10,ALL,0,Merchant Discount Rate,Net Transaction Volume,0.01249714354845214
Merchant 10,ALL,1,Merchant Discount Rate,Net Transaction Volume,0.012123290434501957
Merchant 2,Exceptional (800-850),0,Merchant Discount Rate,Net Transaction Volume,0.0116699918610765
Merchant 2,Exceptional (800-850),1,Merchant Discount Rate,Net Transaction Volume,0.011472089785241129
Merchant 2,Exceptional (800-850),2,Merchant Discount Rate,Net Transaction Volume,0.011219267740808796
Merchant 2,Exceptional (800-850),3,Merchant Discount Rate,Net Transaction Volume,0.011002247002339798
Merchant 2,Exceptional (800-850),4,Merchant Discount Rate,Net Transaction Volume,0.010747919456667305
Merchant 2,Exceptional (800-850),5,Merchant Discount Rate,Net Transaction Volume,0.010548170267369419
Merchant 2,Exceptional (800-850),6,Merchant Discount Rate,Net Transaction Volume,0.010330664977880981
Merchant 2,Exceptional (800-850),7,Merchant Discount Rate,Net Transaction Volume,0.01016325181167514
Merchant 2,Exceptional (800-850),8,Merchant Discount Rate,Net Transaction Volume,0.009840060970190854
Merchant 2,Exceptional (800-850),9,Merchant Discount Rate,Net Transaction Volume,0.009780443798767486
Merchant 2,Exceptional (800-850),10,Merchant Discount Rate,Net Transaction Volume,0.00955194902499886
Merchant 2,Exceptional (800-850),11,Merchant Discount Rate,Net Transaction Volume,0.009272385757571604
Merchant 2,Fair (580-669),0,Merchant Discount Rate,Net Transaction Volume,0.011631673581328314
Merchant 2,Fair (580-669),1,Merchant Discount Rate,Net Transaction Volume,0.011423123805758714
Merchant 2,Fair (580-669),2,Merchant Discount Rate,Net Transaction Volume,0.011300691326348799
Merchant 2,Fair (580-669),3,Merchant Discount Rate,Net Transaction Volume,0.011060910120295525
Merchant 2,Fair (580-669),4,Merchant Discount Rate,Net Transaction Volume,0.010844791805725798
Merchant 2,Fair (580-669),5,Merchant Discount Rate,Net Transaction Volume,0.010578273852932822
Merchant 2,Fair (580-669),6,Merchant Discount Rate,Net Transaction Volume,0.010439266794805682
Merchant 2,Fair (580-669),7,Merchant Discount Rate,Net Transaction Volume,0.010168770889678875
Merchant 2,Fair (580-669),8,Merchant Discount Rate,Net Transaction Volume,0.00987019813400692
Merchant 2,Fair (580-669),9,Merchant Discount Rate,Net Transaction Volume,0.009625441995384192
Merchant 2,Fair (580-669),10,Merchant Discount Rate,Net Transaction Volume,0.009480605348222157
Merchant 2,Fair (580-669),11,Merchant Discount Rate,Net Transaction Volume,0.00906855439642325
Merchant 2,Good (670-739),0,Merchant Discount Rate,Net Transaction Volume,0.011665916429895801
Merchant 2,Good (670-739),1,Merchant Discount Rate,Net Transaction Volume,0.011494378417492098
Merchant 2,Good (670-739),2,Merchant Discount Rate,Net Transaction Volume,0.011242197550864821
Merchant 2,Good (670-739),3,Merchant Discount Rate,Net Transaction Volume,0.010972502007725819
Merchant 2,Good (670-739),4,Merchant Discount Rate,Net Transaction Volume,0.01071919703809395
Merchant 2,Good (670-739),5,Merchant Discount Rate,Net Transaction Volume,0.010601268254597654
Merchant 2,Good (670-739),6,Merchant Discount Rate,Net Transaction Volume,0.01031418288904751
Merchant 2,Good (670-739),7,Merchant Discount Rate,Net Transaction Volume,0.01010560745870662
Merchant 2,Good (670-739),8,Merchant Discount Rate,Net Transaction Volume,0.009813270899954317
Merchant 2,Good (670-739),9,Merchant Discount Rate,Net Transaction Volume,0.009647732459234056
Merchant 2,Good (670-739),10,Merchant Discount Rate,Net Transaction Volume,0.00942412674957928
Merchant 2,Good (670-739),11,Merchant Discount Rate,Net Transaction Volume,0.009397549449616571
Merchant 2,Poor (300-579),0,Merchant Discount Rate,Net Transaction Volume,0.011703919877959806
Merchant 2,Poor (300-579),1,Merchant Discount Rate,Net Transaction Volume,0.011430956700435082
Merchant 2,Poor (300-579),2,Merchant Discount Rate,Net Transaction Volume,0.011338362671137189
Merchant 2,Poor (300-579),3,Merchant Discount Rate,Net Transaction Volume,0.010979254379267467
Merchant 2,Poor (300-579),4,Merchant Discount Rate,Net Transaction Volume,0.01074873343725643
Merchant 2,Poor (300-579),5,Merchant Discount Rate,Net Transaction Volume,0.01048892473785444
Merchant 2,Poor (300-579),6,Merchant Discount Rate,Net Transaction Volume,0.010316095249015786
Merchant 2,Poor (300-579),7,Merchant Discount Rate,Net Transaction Volume,0.01022944550669216
Merchant 2,Poor (300-579),8,Merchant Discount Rate,Net Transaction Volume,0.009912223084731595
Merchant 2,Poor (300-579),9,Merchant Discount Rate,Net Transaction Volume,0.009655947441217151
Merchant 2,Poor (300-579),10,Merchant Discount Rate,Net Transaction Volume,0.00956845238095238
Merchant 2,Poor (300-579),11,Merchant Discount Rate,Net Transaction Volume,0.00908523259444271
Merchant 2,Very Good (740-799),0,Merchant Discount Rate,Net Transaction Volume,0.011727716103067819
Merchant 2,Very Good (740-799),1,Merchant Discount Rate,Net Transaction Volume,0.011544572867870343
Merchant 2,Very Good (740-799),2,Merchant Discount Rate,Net Transaction Volume,0.011215855714309095
Merchant 2,Very Good (740-799),3,Merchant Discount Rate,Net Transaction Volume,0.011127996513791098
Merchant 2,Very Good (740-799),4,Merchant Discount Rate,Net Transaction Volume,0.01074960818480049
Merchant 2,Very Good (740-799),5,Merchant Discount Rate,Net Transaction Volume,0.010604535645460654
Merchant 2,Very Good (740-799),6,Merchant Discount Rate,Net Transaction Volume,0.01038102363732092
Merchant 2,Very Good (740-799),7,Merchant Discount Rate,Net Transaction Volume,0.01013871583275358
Merchant 2,Very Good (740-799),8,Merchant Discount Rate,Net Transaction Volume,0.009926068434794558
Merchant 2,Very Good (740-799),9,Merchant Discount Rate,Net Transaction Volume,0.009778643344166189
Merchant 2,Very Good (740-799),10,Merchant Discount Rate,Net Transaction Volume,0.00945193348420742
Merchant 2,Very Good (740-799),11,Merchant Discount Rate,Net Transaction Volume,0.009133662675486338
Merchant 3,Exceptional (800-850),0,Merchant Discount Rate,Net Transaction Volume,0.01231671218051457
Merchant 3,Exceptional (800-850),1,Merchant Discount Rate,Net Transaction Volume,0.012043343570067895
Merchant 3,Exceptional (800-850),2,Merchant Discount Rate,Net Transaction Volume,0.011910693638173344
Merchant 3,Exceptional (800-850),3,Merchant Discount Rate,Net Transaction Volume,0.011637624531745973
Merchant 3,Exceptional (800-850),4,Merchant Discount Rate,Net Transaction Volume,0.011578535021522613
Merchant 3,Exceptional (800-850),5,Merchant Discount Rate,Net Transaction Volume,0.01111602271773494
Merchant 3,Exceptional (800-850),6,Merchant Discount Rate,Net Transaction Volume,0.010916447474367921
Merchant 3,Exceptional (800-850),7,Merchant Discount Rate,Net Transaction Volume,0.010773542373225564
Merchant 3,Exceptional (800-850),8,Merchant Discount Rate,Net Transaction Volume,0.010452718056283866
Merchant 3,Exceptional (800-850),9,Merchant Discount Rate,Net Transaction Volume,0.010468058191018342
Merchant 3,Fair (580-669),0,Merchant Discount Rate,Net Transaction Volume,0.012294991222382135
Merchant 3,Fair (580-669),1,Merchant Discount Rate,Net Transaction Volume,0.01212709603838142
Merchant 3,Fair (580-669),2,Merchant Discount Rate,Net Transaction Volume,0.011895592412523803
Merchant 3,Fair (580-669),3,Merchant Discount Rate,Net Transaction Volume,0.011719578986218851
Merchant 3,Fair (580-669),4,Merchant Discount Rate,Net Transaction Volume,0.011423346341622715
Merchant 3,Fair (580-669),5,Merchant Discount Rate,Net Transaction Volume,0.011392297746974417
Merchant 3,Fair (580-669),6,Merchant Discount Rate,Net Transaction Volume,0.011019231498691348
Merchant 3,Fair (580-669),7,Merchant Discount Rate,Net Transaction Volume,0.010858814247503222
Merchant 3,Fair (580-669),8,Merchant Discount Rate,Net Transaction Volume,0.01050416953561319
Merchant 3,Fair (580-669),9,Merchant Discount Rate,Net Transaction Volume,0.010404167982317651
Merchant 3,Good (670-739),0,Merchant Discount Rate,Net Transaction Volume,0.012275992719763392
Merchant 3,Good (670-739),1,Merchant Discount Rate,Net Transaction Volume,0.012081251622542345
Merchant 3,Good (670-739),2,Merchant Discount Rate,Net Transaction Volume,0.011817068808580062
Merchant 3,Good (670-739),3,Merchant Discount Rate,Net Transaction Volume,0.011620321321277738
Merchant 3,Good (670-739),4,Merchant Discount Rate,Net Transaction Volume,0.011547911547911549
Merchant 3,Good (670-739),5,Merchant Discount Rate,Net Transaction Volume,0.01127581464475056
Merchant 3,Good (670-739),6,Merchant Discount Rate,Net Transaction Volume,0.010985837753426132
Merchant 3,Good (670-739),7,Merchant Discount Rate,Net Transaction Volume,0.010884745591430448
Merchant 3,Good (670-739),8,Merchant Discount Rate,Net Transaction Volume,0.01056117042953786
Merchant 3,Good (670-739),9,Merchant Discount Rate,Net Transaction Volume,0.010280077645287803
Merchant 3,Poor (300-579),0,Merchant Discount Rate,Net Transaction Volume,0.012226300291667248
Merchant 3,Poor (300-579),1,Merchant Discount Rate,Net Transaction Volume,0.012009936460727321
Merchant 3,Poor (300-579),2,Merchant Discount Rate,Net Transaction Volume,0.011991962390051562
Merchant 3,Poor (300-579),3,Merchant Discount Rate,Net Transaction Volume,0.011673484920559415
Merchant 3,Poor (300-579),4,Merchant Discount Rate,Net Transaction Volume,0.011427052883337762
Merchant 3,Poor (300-579),5,Merchant Discount Rate,Net Transaction Volume,0.011307819798101552
Merchant 3,Poor (300-579),6,Merchant Discount Rate,Net Transaction Volume,0.010935919830835708
Merchant 3,Poor (300-579),7,Merchant Discount Rate,Net Transaction Volume,0.010797818912326016
Merchant 3,Poor (300-579),8,Merchant Discount Rate,Net Transaction Volume,0.01065477930429699
Merchant 3,Poor (300-579),9,Merchant Discount Rate,Net Transaction Volume,0.010524814603536794
Merchant 3,Very Good (740-799),0,Merchant Discount Rate,Net Transaction Volume,0.012322630285939704
Merchant 3,Very Good (740-799),1,Merchant Discount Rate,Net Transaction Volume,0.012054662138710622
Merchant 3,Very Good (740-799),2,Merchant Discount Rate,Net Transaction Volume,0.011924760687878344
Merchant 3,Very Good (740-799),3,Merchant Discount Rate,Net Transaction Volume,0.011635754724503629
Merchant 3,Very Good (740-799),4,Merchant Discount Rate,Net Transaction Volume,0.011470227011608098
Merchant 3,Very Good (740-799),5,Merchant Discount Rate,Net Transaction Volume,0.011264973321583856
Merchant 3,Very Good (740-799),6,Merchant Discount Rate,Net Transaction Volume,0.011080736175540246
Merchant 3,Very Good (740-799),7,Merchant Discount Rate,Net Transaction Volume,0.010862982258641603
Merchant 3,Very Good (740-799),8,Merchant Discount Rate,Net Transaction Volume,0.010564018395992546
Merchant 3,Very Good (740-799),9,Merchant Discount Rate,Net Transaction Volume,0.0102291917973462
Merchant 4,Exceptional (800-850),0,Merchant Discount Rate,Net Transaction Volume,0.013210031767760559
Merchant 4,Exceptional (800-850),1,Merchant Discount Rate,Net Transaction Volume,0.01297328796406379
Merchant 4,Exceptional (800-850),2,Merchant Discount Rate,Net Transaction Volume,0.012834063563079937
Merchant 4,Exceptional (800-850),3,Merchant Discount Rate,Net Transaction Volume,0.012780215362772518
Merchant 4,Exceptional (800-850),4,Merchant Discount Rate,Net Transaction Volume,0.012582275737032949
Merchant 4,Exceptional (800-850),5,Merchant Discount Rate,Net Transaction Volume,0.012565132858068697
Merchant 4,Exceptional (800-850),6,Merchant Discount Rate,Net Transaction Volume,0.012327088507656628
Merchant 4,Exceptional (800-850),7,Merchant Discount Rate,Net Transaction Volume,0.012087442528244483
Merchant 4,Exceptional (800-850),8,Merchant Discount Rate,Net Transaction Volume,0.012094334025511718
Merchant 4,Fair (580-669),0,Merchant Discount Rate,Net Transaction Volume,0.013236355781419646
Merchant 4,Fair (580-669),1,Merchant Discount Rate,Net Transaction Volume,0.013017571678547604
Merchant 4,Fair (580-669),2,Merchant Discount Rate,Net Transaction Volume,0.012851256498095489
Merchant 4,Fair (580-669),3,Merchant Discount Rate,Net Transaction Volume,0.012728347588969013
Merchant 4,Fair (580-669),4,Merchant Discount Rate,Net Transaction Volume,0.012594510616261006
Merchant 4,Fair (580-669),5,Merchant Discount Rate,Net Transaction Volume,0.012421126431409208
Merchant 4,Fair (580-669),6,Merchant Discount Rate,Net Transaction Volume,0.012191432011165447
Merchant 4,Fair (580-669),7,Merchant Discount Rate,Net Transaction Volume,0.012115131507972469
Merchant 4,Fair (580-669),8,Merchant Discount Rate,Net Transaction Volume,0.011945432060596691
Merchant 4,Good (670-739),0,Merchant Discount Rate,Net Transaction Volume,0.013186775428300473
Merchant 4,Good (670-739),1,Merchant Discount Rate,Net Transaction Volume,0.013063108215344777
Merchant 4,Good (670-739),2,Merchant Discount Rate,Net Transaction Volume,0.012959318138564536
Merchant 4,Good (670-739),3,Merchant Discount Rate,Net Transaction Volume,0.012828923437030477
Merchant 4,Good (670-739),4,Merchant Discount Rate,Net Transaction Volume,0.012524618547776215
Merchant 4,Good (670-739),5,Merchant Discount Rate,Net Transaction Volume,0.012375158844817673
